"cop","Inf.round","clutch","selection_line","exposed","checking_day","cop_stage_checking","infection","grp","dead","dpi"
"4_046_5A",2,"F11","fast",1,2,"C1",1,"fast",1,6
"4_046_5B",2,"F12","fast",1,2,"C2",1,"fast",1,8
"4_046_5C",2,"F11","fast",1,NA,NA,NA,"uninf",0,30
"4_046_5D",2,"F12","fast",1,2,"C2",1,"fast",0,30
"4_046_6A",2,"F11","fast",1,2,"C2",1,"fast",1,8
"4_046_6B",2,"F12","fast",1,2,"C3",1,"fast",1,6
"4_046_6C",2,"F11","fast",1,2,"C2",1,"fast",0,30
"4_046_6D",2,"F12","fast",1,2,"C3",1,"fast",0,30
"4_047_1A",2,"S4","slow",1,2,"C2",1,"slow",0,30
"4_047_1B",2,"S4","slow",1,NA,NA,NA,"uninf",0,30
"4_047_1C",2,"S4","slow",1,2,"C2",1,"slow",1,6
"4_047_1D",2,"S4","slow",1,2,"C2",1,"slow",1,8
"4_047_2A",2,"S4","slow",1,2,"C2",1,"slow",0,30
"4_047_2B",2,"S4","slow",1,2,"C2",0,"uninf",0,30
"4_047_2C",2,"S4","slow",1,2,"C2",1,"slow",1,6
"4_047_2D",2,"S4","slow",1,2,"C1",1,"slow",1,6
"4_047_3A",2,"","",0,2,"C2",0,"unexp",1,6
"4_047_3B",2,"S4","slow",1,2,"C3",0,"uninf",1,29
"4_047_3C",2,"S4","slow",1,2,"C2",0,"uninf",1,6
"4_047_3D",2,"S4","slow",1,2,"C2",0,"uninf",1,8
"4_047_4A",2,"S4","slow",1,2,"C2",0,"uninf",0,30
"4_047_4B",2,"S4","slow",1,2,"C2",1,"slow",0,30
"4_047_4C",2,"","",0,NA,NA,NA,"unexp",0,30
"4_047_4D",2,"S4","slow",1,2,"C2",0,"uninf",1,6
"4_047_5A",2,"S4","slow",1,2,"C2",1,"slow",1,29
"4_047_5B",2,"S4","slow",1,2,"C2",1,"slow",0,30
"4_047_5C",2,"S4","slow",1,2,"C1",0,"uninf",1,8
"4_047_5D",2,"S4","slow",1,2,"C2",0,"uninf",1,6
"4_047_6A",2,"S4","slow",1,2,"C3",1,"slow",0,30
"4_047_6B",2,"S4","slow",1,2,"C3",0,"uninf",0,30
"4_047_6C",2,"S4","slow",1,2,"C2",0,"uninf",1,8
"4_047_6D",2,"S4","slow",1,2,"C2",1,"slow",1,6
"4_048_1A",2,"S3","slow",1,NA,NA,NA,"uninf",0,30
"4_048_1B",2,"S3","slow",1,2,"C2",1,"slow",1,6
"4_048_1C",2,"S3","slow",1,2,"C2",0,"uninf",0,30
"4_048_1D",2,"S3","slow",1,2,"C2",1,"slow",0,30
"4_048_2A",2,"S3","slow",1,2,"C3",0,"uninf",1,8
"4_048_2B",2,"S3","slow",1,2,"C2",0,"uninf",1,6
"4_048_2C",2,"S3","slow",1,2,"C2",1,"slow",0,30
