Copepod;;;cop;cop ID;Well;Gen;Inf round;Clutch;Mother;Line;Exposed;Grp;Trt (0=starved, 1=fed);Inf (0=uninf,1=inf);Day checked;Stage at checking;Date exposed;Day Dead;;Surv;days;Remarks;Grp2
5;2;B;005_2B;4_005_2B;2B;4;1;F6;B;fast;1;uninf;1;0;2;C2;20.11.2012;;20.12.2012;0;30;unsure about inf;2_uninf
5;2;C;005_2C;4_005_2C;2C;4;1;F7;A;fast;1;uninf;0;0;2;C2;20.11.2012;28.11.2012;28.11.2012;1;8;;2_uninf
5;2;D;005_2D;4_005_2D;2D;4;1;F5;A;fast;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
5;3;A;005_3A;4_005_3A;3A;4;1;F6;A;fast;1;fast;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;3_fast
5;3;B;005_3B;4_005_3B;3B;4;1;F6;B;fast;1;fast;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;3_fast
5;3;C;005_3C;4_005_3C;3C;4;1;;;;0;unexp;0;;;;20.11.2012;;20.12.2012;0;30;;1_unexp
5;3;D;005_3D;4_005_3D;3D;4;1;F5;A;fast;1;fast;0;1;2;C1;20.11.2012;26.11.2012;26.11.2012;1;6;;3_fast
5;4;A;005_4A;4_005_4A;4A;4;1;;;;0;unexp;1;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;1_unexp
5;4;B;005_4B;4_005_4B;4B;4;1;F6;B;fast;1;fast;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;3_fast
5;4;C;005_4C;4_005_4C;4C;4;1;F7;A;fast;1;fast;0;1;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;3_fast
5;4;D;005_4D;4_005_4D;4D;4;1;F5;A;fast;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
5;5;A;005_5A;4_005_5A;5A;4;1;F6;A;fast;1;fast;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;3_fast
5;5;B;005_5B;4_005_5B;5B;4;1;F6;B;fast;1;fast;1;1;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;3_fast
5;5;C;005_5C;4_005_5C;5C;4;1;F7;A;fast;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
5;5;D;005_5D;4_005_5D;5D;4;1;F5;A;fast;1;uninf;0;0;2;C1;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
5;6;A;005_6A;4_005_6A;6A;4;1;F6;A;fast;1;uninf;1;0;2;C2;20.11.2012;07.12.2012;07.12.2012;1;17;;2_uninf
5;6;B;005_6B;4_005_6B;6B;4;1;F6;B;fast;1;uninf;1;0;2;C2;20.11.2012;;20.12.2012;0;30;;2_uninf
5;6;C;005_6C;4_005_6C;6C;4;1;F7;A;fast;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
5;6;D;005_6D;4_005_6D;6D;4;1;F5;A;fast;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
6;1;A;006_1A;4_006_1A;1A;4;1;S4;B;slow;1;slow;0;1;3;C2;20.11.2012;28.11.2012;28.11.2012;1;8;;5_slow
6;1;B;006_1B;4_006_1B;1B;4;1;S4;B;slow;1;uninf;0;0;3;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
6;1;C;006_1C;4_006_1C;1C;4;1;S4;B;slow;1;slow;1;1;3;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;5_slow
6;1;D;006_1D;4_006_1D;1D;4;1;S4;B;slow;1;uninf;1;0;3;C2;20.11.2012;;20.12.2012;0;30;;2_uninf
6;2;A;006_2A;4_006_2A;2A;4;1;S4;B;slow;1;slow;0;1;3;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;5_slow
6;2;B;006_2B;4_006_2B;2B;4;1;S4;B;slow;1;uninf;0;0;3;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
6;2;C;006_2C;4_006_2C;2C;4;1;S4;B;slow;1;uninf;1;0;3;C2;20.11.2012;;20.12.2012;0;30;;2_uninf
6;2;D;006_2D;4_006_2D;2D;4;1;S4;B;slow;1;uninf;1;0;3;C2;20.11.2012;19.12.2012;19.12.2012;1;29;;2_uninf
6;3;A;006_3A;4_006_3A;3A;4;1;S4;B;slow;1;uninf;0;0;3;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
6;3;B;006_3B;4_006_3B;3B;4;1;;;;0;unexp;0;0;3;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;1_unexp
6;3;C;006_3C;4_006_3C;3C;4;1;S4;B;slow;1;uninf;1;0;3;C1;20.11.2012;05.12.2012;05.12.2012;1;15;;2_uninf
6;3;D;006_3D;4_006_3D;3D;4;1;S4;B;slow;1;slow;1;1;3;C2;20.11.2012;;20.12.2012;0;30;;5_slow
6;4;A;006_4A;4_006_4A;4A;4;1;S4;A;slow;1;uninf;0;0;3;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
6;4;B;006_4B;4_006_4B;4B;4;1;S4;A;slow;1;slow;0;1;3;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;5_slow
6;4;C;006_4C;4_006_4C;4C;4;1;S4;A;slow;1;slow;1;1;3;C2;20.11.2012;;20.12.2012;0;30;;5_slow
6;4;D;006_4D;4_006_4D;4D;4;1;;;;0;unexp;1;0;3;C2;20.11.2012;28.11.2012;28.11.2012;1;8;;1_unexp
6;5;A;006_5A;4_006_5A;5A;4;1;S4;A;slow;1;uninf;0;0;3;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
6;5;B;006_5B;4_006_5B;5B;4;1;S4;A;slow;1;slow;0;1;3;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;5_slow
6;5;C;006_5C;4_006_5C;5C;4;1;S4;A;slow;1;slow;1;1;3;C2;20.11.2012;;20.12.2012;0;30;;5_slow
6;5;D;006_5D;4_006_5D;5D;4;1;S4;A;slow;1;uninf;1;0;3;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
